263.32038836,527.77993727
263.31869437,527.76530686
263.31341185,527.72193836
263.30455248,527.64986404
263.29209429,527.54890452
263.27601798,527.41901698
263.25631062,527.26014792
263.23297167,527.07223695
263.20600579,526.85521653
263.17539617,526.60896352
263.14110016,526.33326132
263.10306614,526.02789113
263.06123864,525.69254867
263.01556815,525.32692397
262.96602078,524.93075586
262.91256117,524.50376040
262.85516267,524.04571894
262.79378937,523.55636363
262.72840223,523.03541995
262.65895134,522.48254672
262.58537821,521.89734792
262.50761465,521.27936119
262.42558604,520.62808162
262.33921554,519.94299413
262.24842875,519.22361023
262.15315570,518.46948455
262.05332920,517.68020173
261.94888007,516.85533929
261.83973197,515.99442694
261.72579830,515.09692260
261.60698249,514.16221486
261.48318096,513.18964714
261.35428711,512.17854966
261.22019448,511.12826512
261.08079812,510.03815997
260.93599411,508.90762113
260.78567788,507.73604352
260.62974228,506.52281541
260.46807607,505.26730707
260.30056308,503.96886538
260.12708219,502.62681397
259.94750769,501.24045747
259.76171000,499.80908751
259.56955632,498.33198877
259.37091119,496.80844433
259.16563691,495.23773963
258.95359381,493.61916560
258.73464044,491.95202074
258.50863378,490.23561351
258.27542916,488.46926320
258.03488078,486.65230395
257.78684123,484.78408259
257.53116290,482.86396980
257.26769581,480.89134517
256.99629258,478.86563414
256.71679976,476.78624635
256.42907463,474.65269767
256.13295607,472.46440109
255.82831602,470.22103763
255.51497410,467.92194488
255.19283682,465.56711298
254.86168187,463.15564703
254.52148149,460.68806746
254.17194136,458.16304029
253.81312976,455.58182608
253.44466587,452.94255880
253.06671002,450.24720304
252.67883430,447.49364655
252.28122149,444.68406404
251.87349682,441.81679739
251.45576519,438.89353717
251.02778159,435.91359633
250.58956221,432.87812060
250.14092901,429.78694122
249.68194126,426.64156812
249.21234457,423.44137059
248.73234030,420.18886756
248.24160030,416.88301881
247.74037731,413.52666995
247.22839226,410.11927495
246.70589694,406.66351378
246.17259076,403.15906972
245.62890908,399.60930303
245.07432308,396.01334797
244.50961273,392.37536293
243.93390433,388.69447730
243.34849324,384.97504381
242.75186812,381.21614118
242.14619543,377.42305365
241.52912994,373.59396223
240.90352084,369.73534803
240.26681144,365.84470022
239.62170278,361.92964300
238.96607823,357.98631215
238.30235756,354.02449546
237.62838438,350.03813523
236.94715925,346.03966719
236.25570134,342.02002395
235.55789225,337.99579086
234.85018234,333.95328923
234.13679528,329.91317472
233.41446288,325.86190050
232.68631239,321.81355482
231.95149368,317.76835363
231.21108719,313.72873689
230.46537644,309.69924704
229.71660905,305.68731972
228.97112273,301.72411034
228.25292705,297.91922319
227.59934834,294.43714199
227.05987425,291.46205899
226.69750358,289.18141160
226.59371829,287.77433683
226.84695715,287.39746826
227.56297036,288.16840966
228.84075368,290.14524288
230.75586060,293.30456268
233.28417986,297.48227492
236.54119815,302.25661247
240.42768319,306.27988388
244.61836517,309.03017749
248.76160755,310.16768302
252.51607885,309.50428068
255.61602251,307.01524348
257.93951706,302.86142330
259.49082093,297.34510050
260.41794713,290.87782253
260.85615995,283.97112207
261.03705923,277.36147493
261.08440186,271.17086735
261.06388167,265.42727372
261.00677267,260.11926848
260.93458686,255.22322397
260.85542109,250.70701297
260.77630831,246.53755120
260.69692994,242.67970982
260.62031525,239.09972984
260.54186008,235.76372723
260.46482341,232.63897484
260.38221449,229.69370056
260.30000168,226.90058997
260.20891937,224.23551654
260.11771831,221.67694155
260.01758913,219.20472582
259.92163357,216.80933461
259.81847275,214.48546955
259.71951917,212.22965011
259.61210397,210.03120203
259.51265289,207.88298253
259.40987970,205.78578748
259.31789957,203.74588914
259.21934956,201.76787470
259.12540502,199.84357213
259.02586502,197.96258903
258.93697935,196.12293415
258.85075234,194.33130784
258.77396388,192.60124410
258.69046533,190.93204038
258.60722715,189.31214097
258.51662093,187.72709375
258.43605790,186.16740728
258.36705013,184.64553579
258.30998579,183.18349144
258.25640743,181.78727218
258.20316340,180.46062498
258.13626480,179.18832372
258.06792564,177.94505044
258.00452834,176.72610713
257.95325591,175.54023674
257.92087857,174.39731699
257.91107770,173.32700578
257.90358737,172.34436517
257.90108055,171.44346564
257.89853167,170.62092920
257.88686444,169.87246994
257.86794819,169.16628077
257.86949205,168.50527012
257.87380611,167.90368016
257.88585350,167.36054661
257.91658592,166.87574039
257.96446010,166.48397363
257.99351994,166.17616839
258.02566145,165.93105628
258.05801319,165.74407019
258.07612111,165.62724287
258.06329005,165.52629420
258.06392058,165.43340765
258.05604230,165.35140224
258.03409612,165.28132223
258.00036723,165.18080730
257.99252629,165.07415855
257.97701977,164.96924070
257.95898726,164.86812830
257.94275372,164.74916623
257.95035440,164.64188949
257.95471149,164.55639837
257.96166834,164.48980779
257.97329085,164.44014537
257.99528932,164.41486736
258.02208620,164.42925132
258.04886835,164.46679874
