J,Knudsen_droplet,N,Points_0,Points_1,Points_2,S_sat,Y,drdt,r_droplet_actual
0,0,0,0.15,0,0.005,1.91961,0,0,0
0,0,0,0.1515,0,0.005,1.92209,0,0,0
0,0,0,0.153,0,0.005,1.92461,0,0,0
0,0,0,0.1545,0,0.005,1.92713,0,0,0
0,0,0,0.156,0,0.005,1.92964,0,0,0
0,0,0,0.1575,0,0.005,1.93216,0,0,0
0,0,0,0.159,0,0.005,1.93468,0,0,0
0,0,0,0.1605,0,0.005,1.93721,0,0,0
0,0,0,0.162,0,0.005,1.93974,0,0,0
0,0,0,0.1635,0,0.005,1.94226,0,0,0
0,0,0,0.165,0,0.005,1.94479,0,0,0
0,0,0,0.1665,0,0.005,1.94731,0,0,0
0,0,0,0.168,0,0.005,1.94983,0,0,0
0,0,0,0.1695,0,0.005,1.95235,0,0,0
0,0,0,0.171,0,0.005,1.95486,0,0,0
0,0,0,0.1725,0,0.005,1.95736,0,0,0
0,0,0,0.174,0,0.005,1.95986,0,0,0
0,0,0,0.1755,0,0.005,1.96237,0,0,0
0,0,0,0.177,0,0.005,1.96486,0,0,0
0,0,0,0.1785,0,0.005,1.96733,0,0,0
0,0,0,0.18,0,0.005,1.96981,0,0,0
0,0,0,0.1815,0,0.005,1.97229,0,0,0
0,0,0,0.183,0,0.005,1.97475,0,0,0
0,0,0,0.1845,0,0.005,1.97721,0,0,0
0,0,0,0.186,0,0.005,1.97966,0,0,0
0,0,0,0.1875,0,0.005,1.98211,0,0,0
0,0,0,0.189,0,0.005,1.98455,0,0,0
0,0,0,0.1905,0,0.005,1.98698,0,0,0
0,0,0,0.192,0,0.005,1.9894,0,0,0
0,0,0,0.1935,0,0.005,1.99183,0,0,0
0,0,0,0.195,0,0.005,1.99426,0,0,0
0,0,0,0.1965,0,0.005,1.99667,0,0,0
0,0,0,0.198,0,0.005,1.99908,0,0,0
0,0,0,0.1995,0,0.005,2.0015,0,0,0
0,0,0,0.201,0,0.005,2.00391,0,0,0
0,0,0,0.2025,0,0.005,2.00632,0,0,0
0,0,0,0.204,0,0.005,2.00873,0,0,0
0,0,0,0.2055,0,0.005,2.01115,0,0,0
0,0,0,0.207,0,0.005,2.01356,0,0,0
0,0,0,0.2085,0,0.005,2.01599,0,0,0
0,0,0,0.21,0,0.005,2.01842,0,0,0
0,0,0,0.2115,0,0.005,2.02084,0,0,0
0,0,0,0.213,0,0.005,2.02328,0,0,0
0,0,0,0.2145,0,0.005,2.02575,0,0,0
0,0,0,0.216,0,0.005,2.02821,0,0,0
0,0,0,0.2175,0,0.005,2.03068,0,0,0
0,0,0,0.219,0,0.005,2.03317,0,0,0
0,0,0,0.2205,0,0.005,2.0357,0,0,0
0,0,0,0.222,0,0.005,2.03823,0,0,0
0,0,0,0.2235,0,0.005,2.04077,0,0,0
0,0,0,0.225,0,0.005,2.04334,0,0,0
0,0,0,0.2265,0,0.005,2.04597,0,0,0
0,0,0,0.228,0,0.005,2.04859,0,0,0
0,0,0,0.2295,0,0.005,2.05122,0,0,0
0,0,0,0.231,0,0.005,2.05391,0,0,0
0,0,0,0.2325,0,0.005,2.05666,0,0,0
0,0,0,0.234,0,0.005,2.05941,0,0,0
0,0,0,0.2355,0,0.005,2.06216,0,0,0
0,0,0,0.237,0,0.005,2.06501,0,0,0
0,0,0,0.2385,0,0.005,2.06791,0,0,0
0,0,0,0.24,0,0.005,2.07081,0,0,0
0,0,0,0.2415,0,0.005,2.07371,0,0,0
0,0,0,0.243,0,0.005,2.07674,0,0,0
0,0,0,0.2445,0,0.005,2.07983,0,0,0
0,0,0,0.246,0,0.005,2.08291,0,0,0
0,0,0,0.2475,0,0.005,2.08599,0,0,0
0,0,0,0.249,0,0.005,2.08923,0,0,0
0,0,0,0.2505,0,0.005,2.09251,0,0,0
0,0,0,0.252,0,0.005,2.09579,0,0,0
0,0,0,0.2535,0,0.005,2.09907,0,0,0
0,0,0,0.255,0,0.005,2.10256,0,0,0
0,0,0,0.2565,0,0.005,2.10606,0,0,0
0,0,0,0.258,0,0.005,2.10955,0,0,0
0,0,0,0.2595,0,0.005,2.11308,0,0,0
0,0,0,0.261,0,0.005,2.1168,0,0,0
0,0,0,0.2625,0,0.005,2.12052,0,0,0
0,0,0,0.264,0,0.005,2.12424,0,0,0
0,0,0,0.2655,0,0.005,2.12805,0,0,0
0,0,0,0.267,0,0.005,2.13201,0,0,0
0,0,0,0.2685,0,0.005,2.13596,0,0,0
0,0,0,0.27,0,0.005,2.13992,0,0,0
0,0,0,0.2715,0,0.005,2.14401,0,0,0
0,0,0,0.273,0,0.005,2.14822,0,0,0
0,0,0,0.2745,0,0.005,2.15242,0,0,0
0,0,0,0.276,0,0.005,2.15662,0,0,0
0,0,0,0.2775,0,0.005,2.16101,0,0,0
0,0,0,0.279,0,0.005,2.16545,0,0,0
0,0,0,0.2805,0,0.005,2.1699,0,0,0
0,0,0,0.282,0,0.005,2.17435,0,0,0
0,0,0,0.2835,0,0.005,2.17904,0,0,0
0,0,0,0.285,0,0.005,2.18374,0,0,0
0,0,0,0.2865,0,0.005,2.18843,0,0,0
0,0,0,0.288,0,0.005,2.19319,0,0,0
0,0,0,0.2895,0,0.005,2.19813,0,0,0
0,0,0,0.291,0,0.005,2.20307,0,0,0
0,0,0,0.2925,0,0.005,2.20801,0,0,0
0,0,0,0.294,0,0.005,2.21308,0,0,0
0,0,0,0.2955,0,0.005,2.21827,0,0,0
0,0,0,0.297,0,0.005,2.22346,0,0,0
0,0,0,0.2985,0,0.005,2.22865,0,0,0
0,0,0,0.3,0,0.005,2.23403,0,0,0
0,0,0,0.3015,0,0.005,2.23946,0,0,0
0,0,0,0.303,0,0.005,2.24489,0,0,0
0,0,0,0.3045,0,0.005,2.25034,0,0,0
0,0,0,0.306,0,0.005,2.256,0,0,0
0,0,0,0.3075,0,0.005,2.26167,0,0,0
0,0,0,0.309,0,0.005,2.26733,0,0,0
0,0,0,0.3105,0,0.005,2.2731,0,0,0
0,0,0,0.312,0,0.005,2.279,0,0,0
0,0,0,0.3135,0,0.005,2.28489,0,0,0
0,0,0,0.315,0,0.005,2.29079,0,0,0
0,0,0,0.3165,0,0.005,2.29686,0,0,0
0,0,0,0.318,0,0.005,2.30299,0,0,0
0,0,0,0.3195,0,0.005,2.30911,0,0,0
0,0,0,0.321,0,0.005,2.31526,0,0,0
0,0,0,0.3225,0,0.005,2.32161,0,0,0
0,0,0,0.324,0,0.005,2.32795,0,0,0
0,0,0,0.3255,0,0.005,2.3343,0,0,0
0,0,0,0.327,0,0.005,2.34075,0,0,0
0,0,0,0.3285,0,0.005,2.34732,0,0,0
0,0,0,0.33,0,0.005,2.35388,0,0,0
0,0,0,0.3315,0,0.005,2.36044,0,0,0
0,0,0,0.333,0,0.005,2.3672,0,0,0
0,0,0,0.3345,0,0.005,2.37397,0,0,0
0,0,0,0.336,0,0.005,2.38075,0,0,0
0,0,0,0.3375,0,0.005,2.38759,0,0,0
0,0,0,0.339,0,0.005,2.39458,0,0,0
0,0,0,0.3405,0,0.005,2.40156,0,0,0
0,0,0,0.342,0,0.005,2.40855,0,0,0
0,0,0,0.3435,0,0.005,2.41569,0,0,0
0,0,0,0.345,0,0.005,2.4229,0,0,0
0,0,0,0.3465,0,0.005,2.4301,0,0,0
0,0,0,0.348,0,0.005,2.43734,0,0,0
0,0,0,0.3495,0,0.005,2.44475,0,0,0
0,0,0,0.351,0,0.005,2.45217,0,0,0
0,0,0,0.3525,0,0.005,2.45958,0,0,0
0,0,0,0.354,0,0.005,2.46713,0,0,0
0,0,0,0.3555,0,0.005,2.47476,0,0,0
0,0,0,0.357,0,0.005,2.48238,0,0,0
0,0,0,0.3585,0,0.005,2.49003,0,0,0
0,0,0,0.36,0,0.005,2.49788,0,0,0
0,0,0,0.3615,0,0.005,2.50573,0,0,0
0,0,0,0.363,0,0.005,2.51357,0,0,0
0,0,0,0.3645,0,0.005,2.52155,0,0,0
0,0,0,0.366,0,0.005,2.52962,0,0,0
0,0,0,0.3675,0,0.005,2.5377,0,0,0
0,0,0,0.369,0,0.005,2.54579,0,0,0
0,0,0,0.3705,0,0.005,2.5541,0,0,0
0,0,0,0.372,0,0.005,2.56241,0,0,0
0,0,0,0.3735,0,0.005,2.57071,0,0,0
0,0,0,0.375,0,0.005,2.57917,0,0,0
0,0,0,0.3765,0,0.005,2.58772,0,0,0
0,0,0,0.378,0,0.005,2.59627,0,0,0
0,0,0,0.3795,0,0.005,2.60485,0,0,0
0,0,0,0.381,0,0.005,2.61366,0,0,0
0,0,0,0.3825,0,0.005,2.62246,0,0,0
0,0,0,0.384,0,0.005,2.63127,0,0,0
0,0,0,0.3855,0,0.005,2.64026,0,0,0
0,0,0,0.387,0,0.005,2.64934,0,0,0
0,0,0,0.3885,0,0.005,2.65841,0,0,0
0,0,0,0.39,0,0.005,2.66756,0,0,0
0,0,0,0.3915,0,0.005,2.67691,0,0,0
0,0,0,0.393,0,0.005,2.68627,0,0,0
0,0,0,0.3945,0,0.005,2.69563,0,0,0
0,0,0,0.396,0,0.005,2.70524,0,0,0
0,0,0,0.3975,0,0.005,2.71489,0,0,0
0,0,0,0.399,0,0.005,2.72454,0,0,0
0,0,0,0.4005,0,0.005,2.73434,0,0,0
0,0,0,0.402,0,0.005,2.7443,0,0,0
0,0,0,0.4035,0,0.005,2.75427,0,0,0
0,0,0,0.405,0,0.005,2.76426,0,0,0
0,0,0,0.4065,0,0.005,2.77455,0,0,0
0,0,0,0.408,0,0.005,2.78485,0,0,0
0,0,0,0.4095,0,0.005,2.79515,0,0,0
0,0,0,0.411,0,0.005,2.80569,0,0,0
0,0,0,0.4125,0,0.005,2.81633,0,0,0
0,0,0,0.414,0,0.005,2.82698,0,0,0
0,0,0,0.4155,0,0.005,2.83776,0,0,0
0,0,0,0.417,0,0.005,2.84877,0,0,0
0,0,0,0.4185,0,0.005,2.85978,0,0,0
0,0,0,0.42,0,0.005,2.87079,0,0,0
0,0,0,0.4215,0,0.005,2.88219,0,0,0
0,0,0,0.423,0,0.005,2.8936,0,0,0
0,0,0,0.4245,0,0.005,2.905,0,0,0
0,0,0,0.426,0,0.005,2.91668,0,0,0
0,0,0,0.4275,0,0.005,2.92848,0,0,0
0,0,0,0.429,0,0.005,2.94029,0,0,0
0,0,0,0.4305,0,0.005,2.95226,0,0,0
0,0,0,0.432,0,0.005,2.96449,0,0,0
0,0,0,0.4335,0,0.005,2.97672,0,0,0
0,0,0,0.435,0,0.005,2.989,0,0,0
0,0,0,0.4365,0,0.005,3.00168,0,0,0
0,0,0,0.438,0,0.005,3.01436,0,0,0
0,0,0,0.4395,0,0.005,3.02704,0,0,0
0,0,0,0.441,0,0.005,3.0401,0,0,0
