Mach,Points_0,Points_1,Points_2,p_p0
0.518611,0.2325,0,0.005,0.838728
0.519155,0.234,0,0.005,0.838464
0.519699,0.2355,0,0.005,0.8382
0.520253,0.237,0,0.005,0.837929
0.520813,0.2385,0,0.005,0.837652
0.521374,0.24,0,0.005,0.837375
0.521935,0.2415,0,0.005,0.837099
0.52251,0.243,0,0.005,0.836812
0.52309,0.2445,0,0.005,0.83652
0.523671,0.246,0,0.005,0.836229
0.524252,0.2475,0,0.005,0.835937
0.524851,0.249,0,0.005,0.835632
0.525453,0.2505,0,0.005,0.835325
0.526056,0.252,0,0.005,0.835017
0.526659,0.2535,0,0.005,0.834709
0.527285,0.255,0,0.005,0.834384
0.527911,0.2565,0,0.005,0.834058
0.528538,0.258,0,0.005,0.833733
0.529168,0.2595,0,0.005,0.833405
0.529819,0.261,0,0.005,0.833061
0.53047,0.2625,0,0.005,0.832718
0.531122,0.264,0,0.005,0.832374
0.531781,0.2655,0,0.005,0.832024
0.532458,0.267,0,0.005,0.831663
0.533134,0.2685,0,0.005,0.831301
0.53381,0.27,0,0.005,0.830939
0.5345,0.2715,0,0.005,0.830567
0.5352,0.273,0,0.005,0.830186
0.535901,0.2745,0,0.005,0.829806
0.536601,0.276,0,0.005,0.829425
0.537319,0.2775,0,0.005,0.829031
0.538042,0.279,0,0.005,0.828632
0.538765,0.2805,0,0.005,0.828233
0.539488,0.282,0,0.005,0.827834
0.540232,0.2835,0,0.005,0.827418
0.540976,0.285,0,0.005,0.827001
0.54172,0.2865,0,0.005,0.826585
0.542469,0.288,0,0.005,0.826164
0.543232,0.2895,0,0.005,0.82573
0.543995,0.291,0,0.005,0.825297
0.544758,0.2925,0,0.005,0.824863
0.54553,0.294,0,0.005,0.824421
0.54631,0.2955,0,0.005,0.82397
0.54709,0.297,0,0.005,0.82352
0.54787,0.2985,0,0.005,0.823069
0.548663,0.3,0,0.005,0.822607
0.549458,0.3015,0,0.005,0.822141
0.550254,0.303,0,0.005,0.821675
0.551051,0.3045,0,0.005,0.821208
0.551862,0.306,0,0.005,0.820728
0.552673,0.3075,0,0.005,0.820247
0.553483,0.309,0,0.005,0.819767
0.5543,0.3105,0,0.005,0.819281
0.555126,0.312,0,0.005,0.818787
0.555952,0.3135,0,0.005,0.818293
0.556777,0.315,0,0.005,0.8178
0.557614,0.3165,0,0.005,0.817296
0.558455,0.318,0,0.005,0.81679
0.559296,0.3195,0,0.005,0.816284
0.560139,0.321,0,0.005,0.815776
0.560996,0.3225,0,0.005,0.815258
0.561852,0.324,0,0.005,0.81474
0.562709,0.3255,0,0.005,0.814223
0.563574,0.327,0,0.005,0.813699
0.564448,0.3285,0,0.005,0.813171
0.565321,0.33,0,0.005,0.812642
0.566195,0.3315,0,0.005,0.812113
0.567083,0.333,0,0.005,0.811576
0.567974,0.3345,0,0.005,0.811038
0.568865,0.336,0,0.005,0.810499
0.569761,0.3375,0,0.005,0.809958
0.570669,0.339,0,0.005,0.80941
0.571578,0.3405,0,0.005,0.808863
0.572486,0.342,0,0.005,0.808315
0.573408,0.3435,0,0.005,0.80776
0.574335,0.345,0,0.005,0.807204
0.575261,0.3465,0,0.005,0.806647
0.576191,0.348,0,0.005,0.806088
0.577135,0.3495,0,0.005,0.805523
0.578079,0.351,0,0.005,0.804958
0.579023,0.3525,0,0.005,0.804393
0.579978,0.354,0,0.005,0.803823
0.580939,0.3555,0,0.005,0.803249
0.5819,0.357,0,0.005,0.802676
0.582863,0.3585,0,0.005,0.802102
0.58384,0.36,0,0.005,0.801521
0.584817,0.3615,0,0.005,0.800939
0.585795,0.363,0,0.005,0.800358
0.58678,0.3645,0,0.005,0.799772
0.587773,0.366,0,0.005,0.799183
0.588765,0.3675,0,0.005,0.798594
0.589758,0.369,0,0.005,0.798004
0.590764,0.3705,0,0.005,0.797407
0.59177,0.372,0,0.005,0.796809
0.592776,0.3735,0,0.005,0.796212
0.593791,0.375,0,0.005,0.795609
0.59481,0.3765,0,0.005,0.795004
0.595829,0.378,0,0.005,0.794398
0.59685,0.3795,0,0.005,0.793791
0.597882,0.381,0,0.005,0.793176
0.598913,0.3825,0,0.005,0.792562
0.599945,0.384,0,0.005,0.791947
0.600985,0.3855,0,0.005,0.791326
0.602029,0.387,0,0.005,0.790702
0.603073,0.3885,0,0.005,0.790079
0.604121,0.39,0,0.005,0.789453
0.605177,0.3915,0,0.005,0.78882
0.606234,0.393,0,0.005,0.788187
0.607291,0.3945,0,0.005,0.787554
0.608359,0.396,0,0.005,0.786912
0.609429,0.3975,0,0.005,0.78627
0.610499,0.399,0,0.005,0.785627
0.611576,0.4005,0,0.005,0.784979
0.61266,0.402,0,0.005,0.784326
0.613744,0.4035,0,0.005,0.783673
0.614829,0.405,0,0.005,0.783019
0.615929,0.4065,0,0.005,0.782355
0.617028,0.408,0,0.005,0.781691
0.618128,0.4095,0,0.005,0.781028
0.619239,0.411,0,0.005,0.780356
0.620355,0.4125,0,0.005,0.779681
0.621471,0.414,0,0.005,0.779006
0.622593,0.4155,0,0.005,0.778326
0.623727,0.417,0,0.005,0.77764
0.624861,0.4185,0,0.005,0.776953
0.625995,0.42,0,0.005,0.776266
0.627147,0.4215,0,0.005,0.775567
0.628299,0.423,0,0.005,0.774868
0.629452,0.4245,0,0.005,0.774169
0.630618,0.426,0,0.005,0.773462
0.63179,0.4275,0,0.005,0.772751
0.632961,0.429,0,0.005,0.772039
0.634141,0.4305,0,0.005,0.771323
0.635333,0.432,0,0.005,0.770599
0.636525,0.4335,0,0.005,0.769875
0.637719,0.435,0,0.005,0.76915
0.638931,0.4365,0,0.005,0.768413
0.640143,0.438,0,0.005,0.767676
0.641354,0.4395,0,0.005,0.766939
0.642583,0.441,0,0.005,0.766191
0.643815,0.4425,0,0.005,0.76544
0.645047,0.444,0,0.005,0.764689
0.64629,0.4455,0,0.005,0.763931
0.647542,0.447,0,0.005,0.763167
0.648794,0.4485,0,0.005,0.762403
0.650052,0.45,0,0.005,0.761635
0.651323,0.4515,0,0.005,0.760858
0.652594,0.453,0,0.005,0.76008
0.653866,0.4545,0,0.005,0.759302
0.655156,0.456,0,0.005,0.758512
0.656445,0.4575,0,0.005,0.757721
0.657734,0.459,0,0.005,0.756931
0.659038,0.4605,0,0.005,0.756129
0.660345,0.462,0,0.005,0.755325
0.661652,0.4635,0,0.005,0.754521
0.662969,0.465,0,0.005,0.753709
0.664293,0.4665,0,0.005,0.752892
0.665616,0.468,0,0.005,0.752075
0.666947,0.4695,0,0.005,0.751251
0.668286,0.471,0,0.005,0.750421
0.669624,0.4725,0,0.005,0.749591
0.670968,0.474,0,0.005,0.748757
0.672322,0.4755,0,0.005,0.747914
0.673676,0.477,0,0.005,0.747071
0.675033,0.4785,0,0.005,0.746226
0.676401,0.48,0,0.005,0.745371
0.67777,0.4815,0,0.005,0.744516
0.679139,0.483,0,0.005,0.743661
0.680521,0.4845,0,0.005,0.742793
0.681904,0.486,0,0.005,0.741926
0.683286,0.4875,0,0.005,0.741059
0.684681,0.489,0,0.005,0.740181
0.686077,0.4905,0,0.005,0.739303
0.687474,0.492,0,0.005,0.738424
0.688881,0.4935,0,0.005,0.737535
0.690291,0.495,0,0.005,0.736644
0.691702,0.4965,0,0.005,0.735754
0.693122,0.498,0,0.005,0.734855
0.694546,0.4995,0,0.005,0.733953
0.69597,0.501,0,0.005,0.733051
0.697403,0.5025,0,0.005,0.732142
0.698841,0.504,0,0.005,0.731229
0.70028,0.5055,0,0.005,0.730315
0.701727,0.507,0,0.005,0.729396
0.70318,0.5085,0,0.005,0.728472
0.704633,0.51,0,0.005,0.727548
0.706093,0.5115,0,0.005,0.726618
0.707562,0.513,0,0.005,0.725683
0.70903,0.5145,0,0.005,0.724747
0.710505,0.516,0,0.005,0.723807
0.711989,0.5175,0,0.005,0.722861
0.713473,0.519,0,0.005,0.721915
0.714964,0.5205,0,0.005,0.720964
0.716464,0.522,0,0.005,0.720008
0.717964,0.5235,0,0.005,0.719051
0.719471,0.525,0,0.005,0.71809
0.720987,0.5265,0,0.005,0.717123
0.722504,0.528,0,0.005,0.716156
0.724027,0.5295,0,0.005,0.715185
0.72556,0.531,0,0.005,0.714208
0.727092,0.5325,0,0.005,0.71323
0.728632,0.534,0,0.005,0.712249
0.730182,0.5355,0,0.005,0.711261
0.731731,0.537,0,0.005,0.710273
0.733289,0.5385,0,0.005,0.709281
0.734855,0.54,0,0.005,0.708284
0.736421,0.5415,0,0.005,0.707287
0.737996,0.543,0,0.005,0.706284
0.739579,0.5445,0,0.005,0.705276
0.741162,0.546,0,0.005,0.704269
0.742755,0.5475,0,0.005,0.703256
